Service_Provider_Type,Company_Name,Country,Full_Name,ID,Original_Category,Search_Friendly_Type
Promoters Marketers,Alpha Investor Services Management (LU ),LU,Alpha Investor Services Management (LU ),21976,Promid,Promoters_Marketers
Promoters Marketers,Alpha Patrimoine S.A. (LU ),LU,Alpha Patrimoine S.A. (LU ),21673,Promid,Promoters_Marketers
Promoters Marketers,Alpha Trust Mutual Fund Mgt S.A. (GR ),GR,Alpha Trust Mutual Fund Mgt S.A. (GR ),70442,Promid,Promoters_Marketers
Promoters Marketers,Alpha UCITS Limited (GB ),GB,Alpha UCITS Limited (GB ),22338,Promid,Promoters_Marketers
Promoters Marketers,AlphaBee Asset Management S.à r.l. (LU ),LU,AlphaBee Asset Management S.à r.l. (LU ),85076,Promid,Promoters_Marketers
Promoters Marketers,AlphaMundi Group AG (CH ),CH,AlphaMundi Group AG (CH ),17676,Promid,Promoters_Marketers
Promoters Marketers,AlphaOne Capital Mgt S.à r.l. (LU ),LU,AlphaOne Capital Mgt S.à r.l. (LU ),84057,Promid,Promoters_Marketers
Promoters Marketers,AlphaOne Management S.à r.l. (LU ),LU,AlphaOne Management S.à r.l. (LU ),73096,Promid,Promoters_Marketers
Promoters Marketers,AlphaTrustMutual Fd & Alt Ivt Fd Mgt (LU ),LU,AlphaTrustMutual Fd & Alt Ivt Fd Mgt (LU ),87711,Promid,Promoters_Marketers
Promoters Marketers,Alpinum Investment Management AG (CH ),CH,Alpinum Investment Management AG (CH ),89946,Promid,Promoters_Marketers
Promoters Marketers,Alquant AG (CH ),CH,Alquant AG (CH ),107889,Promid,Promoters_Marketers
Promoters Marketers,Alt Investments B.V. (NL ),NL,Alt Investments B.V. (NL ),111645,Promid,Promoters_Marketers
Promoters Marketers,Alta Faubourg S.A.S. (FR ),FR,Alta Faubourg S.A.S. (FR ),20945,Promid,Promoters_Marketers
Promoters Marketers,Altarocca AM SAS (FR ),FR,Altarocca AM SAS (FR ),80362,Promid,Promoters_Marketers
Promoters Marketers,ALTE LEIPZIGER Trust Ivt-Gesellsch. (DE ),DE,ALTE LEIPZIGER Trust Ivt-Gesellsch. (DE ),72077,Promid,Promoters_Marketers
Promoters Marketers,Alter Domus Management Company S.A. (LU ),LU,Alter Domus Management Company S.A. (LU ),18682,Promid,Promoters_Marketers
Promoters Marketers,Alterfi S.A. (CH ),CH,Alterfi S.A. (CH ),21296,Promid,Promoters_Marketers
Promoters Marketers,ALTERNATIVE PATRIMONIALE (FR ),FR,ALTERNATIVE PATRIMONIALE (FR ),113940,Promid,Promoters_Marketers
Promoters Marketers,Alternative Value Umbrella Manager (LU ),LU,Alternative Value Umbrella Manager (LU ),92080,Promid,Promoters_Marketers
Promoters Marketers,"Altex Partners Gestion, S.G.I.I.C. (ES )",ES,"Altex Partners Gestion, S.G.I.I.C. (ES )",1834,Promid,Promoters_Marketers
Promoters Marketers,"Althelia Climate Fund GP, S.à r.l. (LU )",LU,"Althelia Climate Fund GP, S.à r.l. (LU )",74282,Promid,Promoters_Marketers
Promoters Marketers,Altimeo Asset Management (FR ),FR,Altimeo Asset Management (FR ),72428,Promid,Promoters_Marketers
Promoters Marketers,Altius Holdings Limited (GB ),GB,Altius Holdings Limited (GB ),83670,Promid,Promoters_Marketers
Promoters Marketers,Alto Invest (FR ),FR,Alto Invest (FR ),80367,Promid,Promoters_Marketers
Promoters Marketers,"Altrinsic Global Advisors, LLC (US )",US,"Altrinsic Global Advisors, LLC (US )",69128,Promid,Promoters_Marketers
Promoters Marketers,Altum Mgt Company (Luxembourg) S.A. (LU ),LU,Altum Mgt Company (Luxembourg) S.A. (LU ),91641,Promid,Promoters_Marketers
Promoters Marketers,Alturis Capital GmbH (DE ),DE,Alturis Capital GmbH (DE ),108583,Promid,Promoters_Marketers
Promoters Marketers,Altus Management SARL (LU ),LU,Altus Management SARL (LU ),90897,Promid,Promoters_Marketers
Promoters Marketers,Alvis Asset Management S.à r.l. (LU ),LU,Alvis Asset Management S.à r.l. (LU ),18966,Promid,Promoters_Marketers
Promoters Marketers,Amagis Capital Management Ltd (MT ),MT,Amagis Capital Management Ltd (MT ),87921,Promid,Promoters_Marketers
Promoters Marketers,Amalthée Gestion SGP (FR ),FR,Amalthée Gestion SGP (FR ),72429,Promid,Promoters_Marketers
Promoters Marketers,Ambienta Sgr S.P.A. (IT ),IT,Ambienta Sgr S.P.A. (IT ),115544,Promid,Promoters_Marketers
Promoters Marketers,American Express Bank Ltd (US ),US,American Express Bank Ltd (US ),2196,Promid,Promoters_Marketers
Promoters Marketers,AMG Fondsverwaltung AG (CH ),CH,AMG Fondsverwaltung AG (CH ),99907,Promid,Promoters_Marketers
Promoters Marketers,Amiral Gestion (FR ),FR,Amiral Gestion (FR ),72431,Promid,Promoters_Marketers
Promoters Marketers,Amonis OFP (BE ),BE,Amonis OFP (BE ),17533,Promid,Promoters_Marketers
Promoters Marketers,AMP Capital Investors Intl Hold. Ltd (AU ),AU,AMP Capital Investors Intl Hold. Ltd (AU ),14939,Promid,Promoters_Marketers
Promoters Marketers,AMP Capital Investors Limited (AU ),AU,AMP Capital Investors Limited (AU ),14940,Promid,Promoters_Marketers
Promoters Marketers,Ampega Investment GmbH (DE ),DE,Ampega Investment GmbH (DE ),70749,Promid,Promoters_Marketers
Promoters Marketers,Amplegest (FR ),FR,Amplegest (FR ),72080,Promid,Promoters_Marketers
Promoters Marketers,Amundi Asset Management S.A.I. S.A. (RO ),RO,Amundi Asset Management S.A.I. S.A. (RO ),88098,Promid,Promoters_Marketers
Promoters Marketers,Amundi Asset Management S.A.S (FR ),FR,Amundi Asset Management S.A.S (FR ),2459,Promid,Promoters_Marketers
Promoters Marketers,Amundi Austria GmbH (AT ),AT,Amundi Austria GmbH (AT ),72014,Promid,Promoters_Marketers
Promoters Marketers,Amundi Deutschland GmbH (DE ),DE,Amundi Deutschland GmbH (DE ),4617,Promid,Promoters_Marketers
Promoters Marketers,"Amundi Iberia SGIIC, SA (ES )",ES,"Amundi Iberia SGIIC, SA (ES )",5965,Promid,Promoters_Marketers
Promoters Marketers,Amundi Luxembourg S.A. (LU ),LU,Amundi Luxembourg S.A. (LU ),2944,Promid,Promoters_Marketers
Promoters Marketers,Amundi S.A. (FR ),FR,Amundi S.A. (FR ),22186,Promid,Promoters_Marketers
Promoters Marketers,Amundi SGR S.p.A. (IT ),IT,Amundi SGR S.p.A. (IT ),6283,Promid,Promoters_Marketers
Promoters Marketers,Anaxis Asset Management S.A.S. (FR ),FR,Anaxis Asset Management S.A.S. (FR ),72432,Promid,Promoters_Marketers
Promoters Marketers,AndBank Asset Management Luxembourg (LU ),LU,AndBank Asset Management Luxembourg (LU ),17659,Promid,Promoters_Marketers
Promoters Marketers,Andbank Luxembourg S.A. (LU ),LU,Andbank Luxembourg S.A. (LU ),18626,Promid,Promoters_Marketers
Promoters Marketers,ANF Luxembourg S.A. (LU ),LU,ANF Luxembourg S.A. (LU ),71333,Promid,Promoters_Marketers
Promoters Marketers,Angola Growth Management S.A. (LU ),LU,Angola Growth Management S.A. (LU ),72412,Promid,Promoters_Marketers
Promoters Marketers,ansa capital Management GmbH (DE ),DE,ansa capital Management GmbH (DE ),71331,Promid,Promoters_Marketers
Promoters Marketers,Anstalt Fürst Liechtenstein (LI ),LI,Anstalt Fürst Liechtenstein (LI ),83818,Promid,Promoters_Marketers
Promoters Marketers,Antaurus Capital Management B.V (NL ),NL,Antaurus Capital Management B.V (NL ),11658,Promid,Promoters_Marketers
Promoters Marketers,Antecedo Asset Management GmbH (DE ),DE,Antecedo Asset Management GmbH (DE ),72136,Promid,Promoters_Marketers
Promoters Marketers,Antin Infrastructure Partners (GB ),GB,Antin Infrastructure Partners (GB ),71347,Promid,Promoters_Marketers
Promoters Marketers,APAC CREF Luxembourg General Partner (LU ),LU,APAC CREF Luxembourg General Partner (LU ),73002,Promid,Promoters_Marketers
Promoters Marketers,Aphilion IM (BE ),BE,Aphilion IM (BE ),114488,Promid,Promoters_Marketers
Promoters Marketers,Apis Asset Management (LU ),LU,Apis Asset Management (LU ),83286,Promid,Promoters_Marketers
Promoters Marketers,APO Asset Management GmbH (DE ),DE,APO Asset Management GmbH (DE ),10465,Promid,Promoters_Marketers
Promoters Marketers,Apollo Management International LLP (GB ),GB,Apollo Management International LLP (GB ),115076,Promid,Promoters_Marketers
Promoters Marketers,APPIA General Partner Sàrl (LU ),LU,APPIA General Partner Sàrl (LU ),75772,Promid,Promoters_Marketers
Promoters Marketers,APS Asset Mgt Advisory Limited (VG ),VG,APS Asset Mgt Advisory Limited (VG ),87036,Promid,Promoters_Marketers
Promoters Marketers,Apus Capital GmbH (DE ),DE,Apus Capital GmbH (DE ),87465,Promid,Promoters_Marketers
Promoters Marketers,AQ Mgt GmbH (DE ),DE,AQ Mgt GmbH (DE ),3553,Promid,Promoters_Marketers
Promoters Marketers,AQA Capital Ltd (MT ),MT,AQA Capital Ltd (MT ),81464,Promid,Promoters_Marketers
Promoters Marketers,AQR Capital Management LLC (US ),US,AQR Capital Management LLC (US ),19945,Promid,Promoters_Marketers
Promoters Marketers,Aquasourca S.A. (LU ),LU,Aquasourca S.A. (LU ),88022,Promid,Promoters_Marketers
Promoters Marketers,Aquila Asset Management AG (CH ),CH,Aquila Asset Management AG (CH ),93361,Promid,Promoters_Marketers
Promoters Marketers,Aquila Capital Investmentgesell (DE ),DE,Aquila Capital Investmentgesell (DE ),85332,Promid,Promoters_Marketers
Promoters Marketers,"Aquila Capital Ivt. mbH, Br. Lux (LU )",LU,"Aquila Capital Ivt. mbH, Br. Lux (LU )",105073,Promid,Promoters_Marketers
