Category,Value,Text
Promid,99801,"Asia Green Real Estate, Switzerland (CH )"
Promid,72614,Asia Growth Capital Management AB (SE )
Promid,83431,ASK 1 Sp. z o. o. (PL )
Promid,71838,Aspect Capital Limited (GB )
Promid,87573,ASPOMA Asset Management GmbH (AT )
Promid,5450,ASR Nederland N.V. (NL )
Promid,11323,Assenagon Asset Management S.A. (LU )
Promid,1627,Assurances Fédérales Bruxelles (BE )
Promid,71453,"Assured Investment Management, LLC (US )"
Promid,68307,Astellon Capital Partners LLP (GB )
Promid,101591,Asteria Investment Managers (CH )
Promid,18028,ATG Abrechnungs-Treuhand GmbH (DE )
Promid,72539,Athymis Gestion (FR )
Promid,6240,Atl. Inv. Mgt. Ltd. (GB )
Promid,72413,Atlantico Europa Capital Lux Sàrl (LU )
Promid,108682,Atlas Responsible Investors SAS (FR )
Promid,100802,AtonRâ Partners S.A. (CH )
Promid,12968,Aubrey Capital Management Ltd (GB )
Promid,68126,Auda Private Equity LLC (US )
Promid,84267,Augusta Vermögensverwaltung GmbH (DE )
Promid,98244,AUM Invest (FR )
Promid,20674,Auretas Family Trust GmbH (DE )
Promid,103090,Auréus Group B.V. (NL )
Promid,72434,Auris Gestion (FR )
Promid,12300,AURORE Invest Fund (LU )
Promid,81598,AUXENSE Gestion SAS (FR )
Promid,22805,AVANA Invest GMBH (DE )
Promid,113815,avant-garde capital GmbH (DE )
Promid,71101,Avenir Finance Investment Managers (FR )
Promid,17356,avesco Financial Services AG (DE )
Promid,83669,Aviabel S.A. (BE )
Promid,83926,Aviron Investment Management (LU )
Promid,17110,Aviva Investors France (FR )
Promid,3188,Aviva Investors Global Services Limi (GB )
Promid,4760,Aviva Investors Group (GB )
Promid,1499,Aviva Investors Luxembourg S.A. (LU )
Promid,87522,Aviva Investors UK Fund Services Ld (GB )
Promid,17429,Aviva Vie (FR )
Promid,87378,AWL Properties I S.C.S. (LU )
Promid,3929,AXA Bank Europe S.A. (BE )
Promid,1632,AXA Group (FR )
Promid,111981,AXA IM Paris - Luxembourg Branch (LU )
Promid,114168,AXA IM Select France (FR )
Promid,4200,Axa Investment Managers Deutsc. GmbH (DE )
Promid,2443,AXA Investment Managers Paris (FR )
Promid,10368,AXA Investment Managers UK Limited (GB )
Promid,21947,Axa Krankenversicherung AG (DE )
Promid,80521,AXA Private Management (FR )
Promid,2495,AXA Real Estate Investment Mgrs SGP (FR )
Promid,72437,Axiom Alternative Investments (FR )
Promid,2417,Axxion S.A. (LU )
Promid,16379,Ayaltis AG (CH )
Promid,4229,Azimut Investments S.A. (LU )
Promid,71451,B & E EQUITIES S.p.A. (IT )
Promid,101280,B.A.U.M. e.V. (DE )
Promid,102846,Baden-Württembergische V. für ÄZT (DE )
Promid,87523,Baillie Gifford & Co Limited (GB )
Promid,20220,Baillie Gifford Overseas Limited (GB )
Promid,22561,Baker Steel Capital Managers LLP (GB )
Promid,87846,Baloise Asset Mgt Switzerland Ltd (CH )
Promid,13615,Baltic Property Trust Asset Mgt S/A (DK )
Promid,68797,Bamboo Capital Partners S.A. (LU )
Promid,1639,Banca del Ceresio S.A. (CH )
Promid,1641,Banca del Sempione S.A. (CH )
Promid,2513,Banca di San Marino (SM )
Promid,2430,Banca Finnat Euramerica S.p.A. (IT )
Promid,3387,Banca Generali S.p.A. (IT )
Promid,20090,Banca March (ES )
Promid,25362,BANCA NAZIONALE DEL LAVORO S.p.A. (IT )
Promid,14338,Banca Patrimoni Sella & C. (IT )
Promid,2846,Banca Zarattini & Co. S.A. (CH )
Promid,18933,Banco Africano de Investimentos S.A. (AO )
Promid,1659,"Banco BANIF, S.A. (ES )"
Promid,1660,Banco Bilbao Vizcaya Argentaria S.A. (ES )
Promid,87241,Banco BPM S.p.A. (IT )
Promid,88671,Banco de Sabadell S.A. (ES )
Promid,4028,Banco de Sabadell S.A. (ES )
Promid,83639,Banco Privado Atlântico - Europa (PT )
Promid,1663,Banco Santander S.A. (ES )
Promid,16611,Bank im Bistum Essen eG (DE )
Promid,3001,Bank J. Safra Sarasin AG (CH )
Promid,15008,Bank of China (Europe) S.A. (LU )
Promid,22878,Bank of Singapore Limited (SG )
Promid,3022,Bank Vontobel AG (CH )
Promid,105657,Bankhaus Bauer AG (DE )
Promid,92131,Bankhaus C. L. Seeliger (DE )
Promid,1678,Bankhaus Ellwanger & Geiger KG (DE )
Promid,4894,Bankhaus Neelmeyer AG (DE )
Promid,72039,Bankhaus Schelhammer & Schattera K. (AT )
Promid,1679,Bankinter S.A. (ES )
Promid,72857,Banor Capital Ltd (GB )
Promid,14887,Banque Bonhôte & Cie S.A. (CH )
Promid,1685,Banque Cantonale Vaudoise (CH )
Promid,1474,Banque de Luxembourg S.A. (LU )
Promid,18842,Banque de Patrimoines Privés S.A. (LU )
Promid,1475,Banque Degroof Petercam Luxembourg (LU )
Promid,2341,Banque Degroof Petercam S.A. (BE )
Promid,1478,Banque et Caisse d'Epargne de l'Etat (LU )
Promid,2292,Banque Fédérative du Crédit Mutuel (FR )
Promid,4852,Banque Hottinguer (FR )
Promid,5645,Banque Internationale à Luxembourg (LU )
Promid,2727,Banque Martin Maurel (FR )
Promid,88692,Banque NagelMackers SA (BE )
Promid,1690,Banque Neuflize OBC (FR )
Promid,72550,Banque Palatine (FR )
Promid,3032,Banque Pictet & Cie S.A. (CH )
Promid,110543,Banque Populaire Grand Ouest (FR )
Promid,1736,Banque Raiffeisen S.C. (LU )
Promid,87506,Banque Saint Olive (FR )
Promid,1710,Banque SYZ S.A. (CH )
Promid,5934,Banque Transatlantique (FR )
Promid,11033,"BanSabadell Inversion, S.A., SGIIC (ES )"
Promid,1712,Bantleon Bank AG (CH )
Promid,2205,Barclays Bank PLC (GB )
Promid,12913,Bardusch & Gehrsitz Vermögensv. MBH (DE )
Promid,5828,Baring Asset Management Ltd (GB )
Promid,84294,Barings (U.K.) Limited (GB )
Promid,83955,Barings LLC (US )
Promid,83513,Barometer Management (Ireland) Ld (IE )
Promid,97803,"Baumann & Cie, Banquiers (CH )"
Promid,13961,Baumann & Partners S.A. (LU )
Promid,98598,BAYER AG (DE )
Promid,5230,Bayerische Vermögen Management AG (DE )
Promid,4471,BayernInvest Kapitalanlagegesel. mbH (DE )
Promid,87197,BayernInvest Kapitalverwaltung (DE )
Promid,4415,BayernInvest Luxembourg S.A. (LU )
Promid,12860,Bayer-Pensionskasse VVaG (DE )
Promid,82873,Bayview Global Opportunities GP (LU )
Promid,3120,BBBank eG (DE )
Promid,17530,BBGI (CH )
Promid,72444,BBR Rogier (FR )
Promid,13962,BCB & Partners S.A. (LU )
Promid,104859,Bcc Risparmio & Previdenza SGRpA (IT )
Promid,91220,BC-ETI Admin S.à r.l. (LU )
Promid,69561,BCI AM Admin General de Fondos SA (CL )
Promid,72445,BDL Capital Management SAS (FR )
Promid,22400,BDT Invest LLP (GB )
Promid,104864,Beka Asset Management SGIIC SA (ES )
Promid,115560,Belem Capital Management S.à r.l (LU )
Promid,81438,Belesta AG (CH )
Promid,1807,Belfius Bank S.A. (BE )
Promid,10993,Bellatrix Asset Management S.A. (LU )
Promid,91222,Bellecapital Partners AG (CH )
Promid,87474,Belvoir Capital AG (CH )
Promid,4309,Berenberg Lux Invest S.A. (LU )
Promid,11226,Bergos AG (CH )
Promid,11784,Berliner Ärzteversorgung (DE )
Promid,1725,Bestinver Gestión S.A. (ES )
Promid,4867,Bethmann Bank AG (DE )
Promid,68206,BETSAH S.A. (LU )
Promid,80590,BFT Investment Managers (FR )
Promid,73379,BG Asset Management S.A. (LU )
Promid,12337,BG Fund Management Luxembourg S.A. (LU )
Promid,1480,BGL BNP Paribas Société Anonyme (LU )
Promid,91776,BICE Inversiones Administradora (CL )
Promid,19255,BI-Invest Compartment S. à r.l. (LU )
Promid,19174,BI-Invest S.à r.l. (LU )
Promid,70097,BIL Manage Invest S.A. (LU )
Promid,98355,BIT Capital GmbH (DE )
Promid,73280,BL General Partner S.à r.l. (LU )
Promid,73055,Blackhawk Coop S.A. (LU )
Promid,105639,BlackPoint Asset Management GmbH (DE )
Promid,4891,BlackRock (Channel Islands) Limited (JE )
Promid,4203,Blackrock (Luxembourg) S.A. (LU )
Promid,2448,BlackRock Advisors (UK) Limited (GB )
Promid,70079,BlackRock AM Schweiz AG (CH )
Promid,22050,BlackRock Asset Management UK Ltd (GB )
Promid,22502,BlackRock Asset Mgt Ireland Ltd (IE )
Promid,71864,BlackRock Cayco Ltd (KY )
Promid,69409,BlackRock Fund Managers Ltd (GB )
Promid,5458,BlackRock Investment Mgt (UK) Ltd (GB )
Promid,81638,Blackstone Alternative Ivt Advisors (US )
Promid,74221,Blackstone Credit BDC Advisors LLC (US )
Promid,74332,Blue Colibri AG (DE )
Promid,15532,Blue Sky Global Investors Limited (GB )
Promid,98261,BlueBalance Capital GmbH (AT )
Promid,2721,BlueBay Asset Management (Services) (GB )
Promid,4241,BlueBay Funds Management Company S.A (LU )
Promid,104856,BlueBox Asset Management SA (CH )
Promid,14723,Bluehouse Capital Advisors Ltd (CY )
Promid,74286,"Bluehouse Property Fund IV GP, Sàrl (LU )"
Promid,87414,BlueOrange Sustainable Capital Fd GP (LU )
Promid,67738,BlueOrchard Asset Mgt (Lux) SA (LU )
Promid,5925,BlueOrchard Finance S.A. (CH )
Promid,87388,BMW Trust e.V. (DE )
Promid,68856,BNP Paribas AM Europe S.A. (FR )
Promid,5582,"BNP Paribas AM Europe, Belgian Br. (BE )"
Promid,1490,BNP Paribas AM Luxembourg S.A. (LU )
Promid,10080,BNP Paribas AM UK Limited (GB )
Promid,1844,BNP Paribas Fortis S.A. (BE )
Promid,88303,BNP Paribas Real Estate Ivt Mgt (FR )
Promid,21114,BNP Paribas Real Estate Ivt Services (FR )
Promid,72396,BNP Paribas REIM Germany GmbH (DE )
Promid,4459,BNP Paribas S.A. (FR )
Promid,15084,"BNP Paribas, Succursale de Lux (LU )"
Promid,72252,BNY Mellon Service KAG (DE )
Promid,83438,boerse.de Finanzportal GmbH (DE )
Promid,91672,Bonafide Wealth Management AG (LI )
Promid,114111,Bootstrap Europe (LU )
Promid,1731,Bordier & Cie (CH )
Promid,89828,Bordier & Cie (France) SA (FR )
Promid,73378,Borletti & Partners S.A. (LU )
Promid,87278,Boursorama SA (FR )
Promid,68507,Boussard & Gavaudan Gestion S.A.S. (FR )
Promid,5577,Bouwfonds Asset Management B.V. (NL )
Promid,87405,Bouwfonds CIF Management S.à r.l. (LU )
Promid,70341,Bovay & Partenaires S.A. (CH )
Promid,12654,BPC Group Limited (BM )
Promid,1651,BPER Banca S.p.A. (IT )
Promid,87385,BPM Capital OÜ (EE )
Promid,72896,"BPM Mezzanine Fund GP, S.à r.l. (LU )"
